YEARMODA,TEMP,MAX,MIN,DIFF,DIFF_MIN,TEMP_CELSIUS,TEMP_KELVIN
20160601,65.5,73.6,54.7,18.9,10.8,18.6,-254.5
20160602,65.8,80.8,55.0,25.8,10.8,18.8,-254.4
20160603,68.4,,55.6,,12.8,20.2,-252.9
20160604,57.5,70.9,47.3,23.6,10.2,14.2,-259.0
20160605,51.4,58.3,43.2,15.1,8.2,10.8,-262.4
20160606,52.2,59.7,42.8,16.9,9.4,11.2,-261.9
20160607,56.9,65.1,45.9,19.2,11.0,13.8,-259.3
20160608,54.2,,47.5,,6.7,12.3,-260.8
20160609,49.4,54.1,45.7,8.4,3.7,9.7,-263.5
20160610,49.5,55.9,43.0,12.9,6.5,9.7,-263.4
20160611,54.0,62.1,41.7,20.4,12.3,12.2,-260.9
20160612,55.4,64.2,46.0,18.2,9.4,13.0,-260.1
20160613,58.3,68.2,47.3,20.9,11.0,14.6,-258.5
20160614,59.7,67.8,47.8,20.0,11.9,15.4,-257.8
20160615,63.4,70.3,49.3,21.0,14.1,17.4,-255.7
20160616,57.8,67.5,55.6,11.9,2.2,14.3,-258.8
20160617,60.4,70.7,55.9,14.8,4.5,15.8,-257.4
20160618,57.3,,54.0,,3.3,14.1,-259.1
20160619,56.3,59.2,54.1,5.1,2.2,13.5,-259.6
20160620,59.3,69.1,52.2,16.9,7.1,15.2,-258.0
20160621,62.6,71.4,50.4,21.0,12.2,17.0,-256.1
20160622,61.7,70.2,55.4,14.8,6.3,16.5,-256.6
20160623,60.9,67.1,54.9,12.2,6.0,16.1,-257.1
20160624,61.1,68.9,56.7,12.2,4.4,16.2,-257.0
20160625,65.7,75.4,57.9,17.5,7.8,18.7,-254.4
20160626,69.6,77.7,60.3,17.4,9.3,20.9,-252.3
20160627,60.7,70.0,,,,15.9,-257.2
20160628,65.4,73.0,55.8,17.2,9.6,18.6,-254.6
20160629,65.8,73.2,,,,18.8,-254.4
20160630,65.7,72.7,59.2,13.5,6.5,18.7,-254.4
